ID;Treatment;Time;Rep1;Rep2;Rep3;Mean
M1T0;M1;0;16.9642857142857;16.8;16.4928571428571;16.752380952381
M1T4;M1;4;18.4642857142857;18.3;17.8214285714286;18.1952380952381
M1T7;M1;7;15.1357142857143;15.55;16.1285714285714;15.6047619047619
M1T10;M1;10;16.7285714285714;17.6928571428571;17.3571428571429;17.2595238095238
M1T16;M1;16;17.0642857142857;16.9642857142857;16.7;16.9095238095238
M1T21;M1;21;15.9857142857143;16.2928571428571;16.4642857142857;16.247619047619
M1T25;M1;25;16.3071428571429;16.1142857142857;16.2428571428571;16.2214285714286
M1T31;M1;31;17.0785714285714;16.9785714285714;17.5714285714286;17.2095238095238
M1T61;M1;61;18.0142857142857;17.8071428571429;17.2285714285714;17.6833333333333
M1T183;M1;183;17.1642857142857;16.7285714285714;17.1785714285714;17.0238095238095
M1T274;M1;274;18.45;17.6285714285714;17.9357142857143;18.0047619047619
M1T548;M1;548;17.0214285714286;NA;NA;17.0214285714286
M2T0;M2;0;17.4571428571429;16.45;16.4642857142857;16.7904761904762
M2T4;M2;4;16.3214285714286;16.4071428571429;16.0857142857143;16.2714285714286
M2T7;M2;7;16.7285714285714;15.9571428571429;15.4285714285714;16.0380952380952
M2T10;M2;10;18.5071428571429;18.9142857142857;17.8928571428571;18.4380952380952
M2T16;M2;16;16.5928571428571;16.6;16.6285714285714;16.6071428571429
M2T21;M2;21;17.0928571428571;16.4357142857143;16.3571428571429;16.6285714285714
M2T25;M2;25;16.6214285714286;17.1357142857143;16.65;16.802380952381
M2T31;M2;31;17.7428571428571;17.6857142857143;17.7571428571429;17.7285714285714
M2T61;M2;61;17.45;17.4285714285714;17.4571428571429;17.4452380952381
M2T92;M2;92;17.4285714285714;18.6642857142857;NA;18.0464285714286
M2T183;M2;183;17.8214285714286;17.9785714285714;17.25;17.6833333333333
M2T274;M2;274;17.9785714285714;17.8214285714286;17.0785714285714;17.6261904761905
M2T548;M2;548;16.9285714285714;18.0428571428571;17.6428571428571;17.5380952380952
M3T0;M3;0;16.4928571428571;17.0642857142857;16.6714285714286;16.7428571428571
M3T4;M3;4;17.8285714285714;NA;NA;17.8285714285714
M3T16;M3;16;17.6214285714286;17.3571428571429;17.6;17.5261904761905
M3T21;M3;21;17.0214285714286;17.0642857142857;17.3928571428571;17.1595238095238
M3T25;M3;25;18.2357142857143;17.8714285714286;18.1357142857143;18.0809523809524
M3T31;M3;31;17.9928571428571;18.2;18.5214285714286;18.2380952380952
M3T61;M3;61;17.9785714285714;18.0428571428571;17.9928571428571;18.0047619047619
M3T183;M3;183;16.55;16.9;18.3642857142857;17.2714285714286
M3T274;M3;274;17.4285714285714;NA;NA;17.4285714285714
M3T548;M3;548;18.2714285714286;NA;NA;18.2714285714286
M4T0;M4;0;16.9428571428571;16.7142857142857;17.5857142857143;17.0809523809524
M4T4;M4;4;18.2428571428571;18.1;17.1357142857143;17.8261904761905
M4T7;M4;7;17.7214285714286;17.1071428571429;16.7571428571429;17.1952380952381
M4T10;M4;10;17.2785714285714;17.8071428571429;17.95;17.6785714285714
M4T16;M4;16;18.2;17.4714285714286;17.4785714285714;17.7166666666667
M4T21;M4;21;16.75;17.05;17.3785714285714;17.0595238095238
M4T25;M4;25;18.45;17.7357142857143;18.05;18.0785714285714
M4T31;M4;31;18.6357142857143;18.4642857142857;18.4142857142857;18.5047619047619
M4T61;M4;61;17.0357142857143;17.5714285714286;17.6142857142857;17.4071428571429
M4T92;M4;92;17.4142857142857;18.1142857142857;NA;17.7642857142857
M4T183;M4;183;17.4;17.3428571428571;17.65;17.4642857142857
M4T274;M4;274;18.9285714285714;19.0142857142857;19.1642857142857;19.0357142857143
M4T548;M4;548;18.9;17.2928571428571;17.7357142857143;17.9761904761905
M5T0;M5;0;17.3285714285714;17.2214285714286;17.65;17.4
M5T4;M5;4;17.6142857142857;17.2928571428571;17.7071428571429;17.5380952380952
M5T10;M5;10;17.6928571428571;17.5714285714286;17.5285714285714;17.597619047619
M5T16;M5;16;17.0642857142857;17.0857142857143;17.2571428571429;17.1357142857143
M5T21;M5;21;17.6142857142857;18.3;17.1428571428571;17.6857142857143
M5T25;M5;25;17.7928571428571;17.8357142857143;18.8285714285714;18.152380952381
M5T31;M5;31;17.8785714285714;17.1357142857143;17.3571428571429;17.4571428571429
M5T61;M5;61;18.3785714285714;17.4571428571429;18.3214285714286;18.052380952381
M5T92;M5;92;18.35;18.6642857142857;18.8428571428571;18.6190476190476
M5T183;M5;183;18.6928571428571;17.9785714285714;18.4214285714286;18.3642857142857
M5T274;M5;274;18.9714285714286;18.3928571428571;18.3285714285714;18.5642857142857
M5T548;M5;548;17.1642857142857;NA;NA;17.1642857142857
M6T0;M6;0;17.2785714285714;17.0928571428571;16.6571428571429;17.0095238095238
M6T4;M6;4;16.5928571428571;16.3785714285714;16.4642857142857;16.4785714285714
M6T7;M6;7;17.15;17.0071428571429;17.1928571428571;17.1166666666667
M6T10;M6;10;18.55;18.9571428571429;18.2;18.5690476190476
M6T16;M6;16;17.05;16.95;16.9142857142857;16.9714285714286
M6T21;M6;21;17.1142857142857;17.0428571428571;16.7785714285714;16.9785714285714
M6T25;M6;25;18.2142857142857;17.9428571428571;18.2357142857143;18.1309523809524
M6T31;M6;31;17.6;17.2214285714286;17.5142857142857;17.4452380952381
M6T61;M6;61;17.85;18.3785714285714;18.3142857142857;18.1809523809524
M6T92;M6;92;18.5642857142857;18.1714285714286;NA;18.3678571428571
M6T183;M6;183;18.7142857142857;19.2785714285714;19.6428571428571;19.2119047619048
M6T274;M6;274;19.6142857142857;19.4142857142857;19.2214285714286;19.4166666666667
M6T548;M6;548;18.5642857142857;NA;NA;18.5642857142857
